,Nsample,Nfeature,Mean,Median,Min,Max,SD,CV,R2,RMSE,MSE,SEP,MAE,RPD,Bias,Consistency (%),Aggregated
Cros Val,96,2151,52.266,48.510,26.160,106.000,15.875,0.304,0.736,8.153,66.478,8.090,6.313,1.96,1.014,94.8,
Train,384,2151,54.147,53.120,26.160,116.000,15.374,0.284,0.876,5.423,29.408,5.423,4.319,2.83,-0.000,99.2,
Test,116,2151,50.692,48.280,35.810,69.000,11.231,0.222,0.503,7.914,62.635,7.827,6.165,1.43,1.174,84.5,
