,Nsample,Nfeature,Mean,Median,Min,Max,SD,CV,R2,RMSE,MSE,SEP,MAE,RPD,Bias,Consistency (%),Aggregated
Cros Val,160,2151,60.218,60.080,33.800,100.000,12.299,0.204,0.151,11.330,128.376,9.932,7.609,1.24,-5.454,79.4,
Train,320,2151,50.547,45.620,26.160,116.000,15.915,0.315,0.711,8.552,73.130,8.552,5.741,1.86,-0.000,95.0,
Test,116,2151,50.692,48.280,35.810,69.000,11.231,0.222,0.614,6.977,48.676,6.902,4.438,1.63,-1.021,89.7,
