,Nsample,Nfeature,Mean,Median,Min,Max,SD,CV,R2,RMSE,MSE,SEP,MAE,RPD,Bias,Consistency (%),Aggregated
Cros Val,96,2151,52.266,48.510,26.160,106.000,15.875,0.304,0.820,6.735,45.362,6.665,4.462,2.38,0.972,96.9,
Train,384,2151,54.147,53.120,26.160,116.000,15.374,0.284,0.953,3.329,11.082,3.328,1.960,4.62,0.079,98.7,
Test,116,2151,50.692,48.280,35.810,69.000,11.231,0.222,0.663,6.519,42.496,6.468,4.413,1.74,0.813,91.4,
