,Nsample,Nfeature,Mean,Median,Min,Max,SD,CV,R2,RMSE,MSE,SEP,MAE,RPD,Bias,Consistency (%),Aggregated
Cros Val,571,949,45.216,48.258,0.000,89.308,19.653,0.435,0.551,13.172,173.513,13.171,10.168,1.49,0.160,87.4,
Train,2285,949,45.407,48.567,-0.029,89.308,20.031,0.441,0.805,8.848,78.281,8.848,6.841,2.26,0.023,96.9,
Test,700,949,44.997,47.179,0.000,75.156,16.970,0.377,0.372,13.448,180.860,13.422,10.568,1.26,0.845,82.1,
