,Nsample,Nfeature,Mean,Median,Min,Max,SD,CV,R2,RMSE,MSE,SEP,MAE,RPD,Bias,Consistency (%),Aggregated
Cros Val,571,949,45.216,48.258,0.000,89.308,19.653,0.435,0.411,15.085,227.562,15.079,12.070,1.30,0.413,81.1,
Train,2285,949,45.407,48.567,-0.029,89.308,20.031,0.441,0.435,15.056,226.685,15.056,12.017,1.33,-0.000,80.6,
Test,700,949,44.997,47.179,0.000,75.156,16.970,0.377,0.327,13.922,193.823,13.893,10.908,1.22,0.895,81.0,
